,log_return,gtrend_pct_change,blockchain_diff_log_n_transactions,blockchain_diff_log_transaction_fee_usd,blockchain_diff_log_n_unique_addresses,blockchain_diff_log_transaction_volume_usd,log_volume,gold_close_ret,silver_close_ret,brent_close_ret,dji_close_ret,spx_close_ret,rut_close_ret,nasdaq_close_ret,usdcny_close_ret,usdeur_close_ret,gold_volume_chg,silver_volume_chg,brent_volume_chg,dji_volume_chg,spx_volume_chg,rut_volume_chg,nasdaq_volume_chg,vix_close_chg,hash-rate_chg,difficulty_chg,median-confirmation-time_chg,blockchain_log_mempool_count_chg
t-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023837442341845426,0.0,0.0,0.0
t-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-22,0.00021004518091027497,0.0,0.0,0.0,0.00016633797454922272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001909961617662306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-21,0.0,0.0,0.0,0.0,0.00039987501207178444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017122517436496675,0.0,0.0,0.0,0.0,0.0,6.34312875259894e-05
t-20,0.0,0.0,0.0,0.0,0.0001886120523156487,0.0,0.0,0.0,0.0,0.0,0.00020384146389358703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-19,0.0,0.0,0.0,0.0,0.0,0.00024317924394997415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-18,9.600934194048916e-05,0.0010133593774494184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002943444836159387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003216618283421393
t-17,0.0,0.0,0.0,0.0,0.0008556298299969481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040554115635217143
t-16,0.0,0.0,0.0,0.0,0.0004522662726864893,0.0,0.0,0.00024378699005606248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011248197833374157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001252598193106467
t-15,0.0,0.00037225106732351393,0.0,0.0,0.0010081547953645637,0.0002494025968676909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.193680716830093e-05,0.0,0.0,0.0002582208086242144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017158904241373397,0.0005737591466441793
t-14,0.0,0.0,0.0,0.0,0.0006031047067477481,0.0,0.0,0.00026614740881903006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006594277017473474,0.0,0.00022779282900172476,0.0,0.0,0.0,0.0,0.0
