lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
60,64,0.01,32,Garch,1,1,t,0.0009927239834336236,-5.859671259544954,523
60,64,0.01,32,Garch,1,2,t,0.0009667938647461112,-5.895782041292552,523
60,64,0.01,32,Garch,2,1,t,0.0010258047324083843,-6.144443973519573,523
60,64,0.01,32,Garch,2,2,t,0.0009779749995178374,-5.967330178554196,523
60,64,0.1,32,Garch,1,1,t,0.0009715956813613608,-5.766304561579683,523
60,64,0.1,32,Garch,1,2,t,0.0010144842553376423,-6.1845558372390705,523
60,64,0.1,32,Garch,2,1,t,0.0010002364789185334,-5.992871016551011,523
60,64,0.1,32,Garch,2,2,t,0.00099023482503811,-6.101579619398121,523
60,64,0.2,32,Garch,1,1,t,0.0010732379547871316,-6.178915441781433,523
60,64,0.2,32,Garch,1,2,t,0.0010012376929939984,-6.03765672645686,523
60,64,0.2,32,Garch,2,1,t,0.0010155123139284881,-6.115292959664574,523
60,64,0.2,32,Garch,2,2,t,0.0010020809329368784,-6.200354285258887,523
