lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
30,64,0.0,32,Garch,2,1,t,0.0008292105503211602,-6.437971646722898,523
30,64,0.0,32,Garch,2,2,t,0.0008255126245736488,-6.441113587483838,523
30,64,0.01,32,Garch,1,1,t,0.0008466257919237733,-6.406289900698501,523
30,64,0.01,32,Garch,1,2,t,0.000824196850885913,-6.445232717187651,523
30,64,0.01,32,Garch,2,1,t,0.0008270281932922201,-6.440235270347488,523
30,64,0.01,32,Garch,2,2,t,0.0008238852318340532,-6.4449681622708805,523
30,64,0.1,32,Garch,1,1,t,0.0008480985215596839,-6.406218572823002,523
30,64,0.1,32,Garch,1,2,t,0.000820281312801703,-6.451278395737786,523
30,64,0.1,32,Garch,2,1,t,0.000829158777699843,-6.435607997146096,523
30,64,0.1,32,Garch,2,2,t,0.0008332333907753986,-6.431105762332584,523
30,64,0.2,32,Garch,1,1,t,0.0008442864972238355,-6.4085708013734,523
30,64,0.2,32,Garch,1,2,t,0.0008259171408565988,-6.440593743394667,523
30,64,0.2,32,Garch,2,1,t,0.0008223096053666083,-6.448594354245886,523
30,64,0.2,32,Garch,2,2,t,0.0008312070714341591,-6.432849875285097,523
60,32,0.0,32,Garch,1,1,t,0.000851261236307838,-6.401505611900333,523
60,32,0.0,32,Garch,1,2,t,0.0008279513098877028,-6.438625555636655,523
60,32,0.0,32,Garch,2,1,t,0.0008319425207667925,-6.432430851754624,523
60,32,0.0,32,Garch,2,2,t,0.0008220976172834659,-6.447132877580746,523
60,32,0.01,32,Garch,1,1,t,0.0008524076051677551,-6.397871183135608,523
60,32,0.01,32,Garch,1,2,t,0.0008251868047947734,-6.440902441084773,523
60,32,0.01,32,Garch,2,1,t,0.0008280798955328808,-6.437808988395891,523
60,32,0.01,32,Garch,2,2,t,0.0008238847700691698,-6.443356562437828,523
60,32,0.1,32,Garch,1,1,t,0.00085011564764682,-6.401745091461239,523
60,32,0.1,32,Garch,1,2,t,0.000828649832350717,-6.438701970123,523
60,32,0.1,32,Garch,2,1,t,0.0008294698127323633,-6.437146002811392,523
60,32,0.1,32,Garch,2,2,t,0.0008232337293888584,-6.445501083303223,523
60,32,0.2,32,Garch,1,1,t,0.0008492693166402186,-6.402682654564069,523
60,32,0.2,32,Garch,1,2,t,0.0008263406918378527,-6.43990526305406,523
60,32,0.2,32,Garch,2,1,t,0.0008313961991719861,-6.432428715036807,523
60,32,0.2,32,Garch,2,2,t,0.0008223776462550361,-6.448627668628442,523
60,64,0.0,32,Garch,1,1,t,0.0008474557904277077,-6.406254546801421,523
60,64,0.0,32,Garch,1,2,t,0.0008287594586106089,-6.4363375683356185,523
60,64,0.0,32,Garch,2,1,t,0.0008284321401064056,-6.437100584153754,523
60,64,0.0,32,Garch,2,2,t,0.0008208720663184947,-6.448716335552403,523
60,64,0.01,32,Garch,1,1,t,0.0008457016218368881,-6.406482022100848,523
