date,forecast_origin_date,actual_target,pred_target,actual_var,pred_var,qlike,error_sq
2025-06-12,2025-06-11,-7.9418366314184405,-8.491433823928965,0.0003555528587104001,0.00020521880143686778,0.18295744169213712,2.2600328776321703e-08
2025-06-13,2025-06-12,-7.575556562389327,-7.889602806728984,0.0005128349177246,0.0003746183413240013,0.05490669858573094,1.910382199190253e-08
2025-06-14,2025-06-13,-9.379640250411933,-7.809763925207522,8.442556913454225e-05,0.000405753824764429,0.7779474342727213,1.0325184786614587e-07
2025-06-15,2025-06-14,-8.703417199001589,-8.1697458158937,0.00016601752564569987,0.0002830899642694997,0.12011946659721207,1.3705955885323375e-08
2025-06-16,2025-06-15,-8.155351584438739,-7.9684420871770465,0.00028719429521680017,0.00034621794333420004,0.01642835321452707,3.4837910370866415e-09
2025-06-17,2025-06-16,-8.307601936727961,-7.638764188639852,0.00024663478057530006,0.00048142303264076387,0.18114150720005084,5.512552330795577e-08
2025-06-18,2025-06-17,-8.164616136857427,-8.060168331892028,0.00028454585586040005,0.0003158736292204175,0.005269650969120354,9.814293836966194e-10
2025-06-19,2025-06-18,-9.218816118109821,-7.841552508873615,9.91560071736796e-05,0.0003930583401578276,0.6295317125082724,8.637858133352499e-08
2025-06-20,2025-06-19,-7.564832898916308,-8.24882214869563,0.0005183639797142,0.0002615664623317364,0.29777812558112116,6.594496493379672e-08
2025-06-21,2025-06-20,-8.12859295323781,-7.8491072314137265,0.00029498296376599984,0.00039010008193580774,0.03565830883034393,9.0472661689292e-09
2025-06-22,2025-06-21,-6.7593463118075405,-7.836081202460293,0.0011599871960559997,0.0003952147766581272,0.8583451495134389,5.848768534716754e-07
2025-06-23,2025-06-22,-6.993512964474014,-7.586243598608912,0.000917816604556,0.0005073834144763712,0.2161903859010268,1.6845540351894068e-07
2025-06-24,2025-06-23,-8.07243373405606,-6.8888183480724114,0.0003120229753086998,0.0010191173717849673,0.4897852672262908,4.99982485528137e-07
2025-06-25,2025-06-24,-8.793965170287613,-7.799678885409044,0.00015164547385220007,0.00040986657198704876,0.3642738545363533,6.667813552196714e-08
2025-06-26,2025-06-25,-8.94744173091407,-7.185972907676391,0.0001300694875218999,0.0007571320299282456,0.9332612784518477,3.932074320891101e-07
2025-06-27,2025-06-26,-8.73200124729038,-7.558995189901243,0.00016133925318550008,0.0005213988876274633,0.4824415511549711,1.2964294035448023e-07
2025-06-28,2025-06-27,-10.450331963439451,-8.003622811479172,2.89386651247107e-05,0.00033424950882100524,1.5332874585940584,9.321471127854321e-08
2025-06-29,2025-06-28,-9.362239740015474,-8.1065308933247,8.590747267655842e-05,0.0003015632156407082,0.5405829285864898,4.650739947341945e-08
2025-06-30,2025-06-29,-8.471636240793115,-8.831216303036573,0.00020932212160860013,0.00014610042897521977,0.07314727335802851,3.996982419429621e-09
2025-07-01,2025-06-30,-8.489016106959156,-8.227781669121068,0.00020571556268769982,0.0002671282523211391,0.031334881689173866,3.771518448013137e-09
2025-07-02,2025-07-01,-8.203606596628816,-8.331601982563964,0.0002736647894706001,0.00024078600076827506,0.00855231593568151,1.0810147465321349e-09
2025-07-03,2025-07-02,-8.233058765787382,-7.81593834927366,0.0002657223036375998,0.0004032562470704843,0.07606206881006417,1.8915585596199875e-08
2025-07-04,2025-07-03,-8.927699149932298,-7.881639358594801,0.00013266291111430005,0.00037761350514255794,0.39737925998913637,6.00007935147964e-08
2025-07-05,2025-07-04,-10.816994958690035,-7.731674798813947,2.005574405534949e-05,0.0004387087525814291,2.131035772718977,1.7527034154793767e-07
2025-07-06,2025-07-05,-9.420084202572982,-8.572558212601427,8.107919194513817e-05,0.0001892279447740806,0.2759999619029625,1.1696152738455681e-08
2025-07-07,2025-07-06,-9.20791866405134,-8.592481779410495,0.00010024246426279996,0.00018549515786511533,0.15584188160157186,7.268021766450264e-09
2025-07-08,2025-07-07,-8.76848466171768,-7.805937739876408,0.00015555912683779989,0.0004073092879443622,0.344466002132791,6.33781436171801e-08
2025-07-09,2025-07-08,-7.43313595469276,-8.865869166789267,0.0005913302164649998,0.00014112434641003218,1.7574006131016127,2.026853254319504e-07
2025-07-10,2025-07-09,-6.988320783050814,-8.312318764380946,0.0009225944679129996,0.0002454741861358538,1.4344183580595877,4.5849187599396134e-07
2025-07-11,2025-07-10,-8.059000012296647,-7.563653249113544,0.0003162428862342003,0.0005189758284933225,0.10470640564728795,4.110064587704059e-08
2025-07-12,2025-07-11,-9.446256595563028,-7.6545383104126286,7.898468416964539e-05,0.0004738885879515727,0.9583919918199444,1.5594909322220568e-07
2025-07-13,2025-07-12,-9.412453491708225,-7.545413757168151,8.170025036105408e-05,0.0005285285373846995,1.0216204792379182,1.9965551808448523e-07
2025-07-14,2025-07-13,-7.6411504256144465,-8.008688303541243,0.0004802756127521998,0.00033256065164485795,0.07663648834087966,2.1819709734943512e-08
2025-07-15,2025-07-14,-7.153380561027091,-7.7056255627159755,0.0007822152801257001,0.0004502869270534981,0.18490337952081237,1.1017643157322443e-07
2025-07-16,2025-07-15,-8.3823493571803,-7.029429456768005,0.00022887161216909982,0.0008854368164927175,0.6114043931028448,4.310778675285139e-07
2025-07-17,2025-07-16,-8.061973085365556,-8.041033744117332,0.00031530406930309985,0.0003219759372925506,0.00021771225515410109,4.4513822468657535e-11
2025-07-18,2025-07-17,-8.216209902221502,-8.192251545350777,0.00027023735238609995,0.0002767899769406855,0.0002847316201650685,4.29368885533577e-11
2025-07-19,2025-07-18,-9.661646453691407,-7.4166033358624155,6.367959007639494e-05,0.0006011877141364272,1.3509662396538675,2.88914983430535e-07
2025-07-20,2025-07-19,-9.42204848492259,-8.417776831861707,8.09200858352995e-05,0.00022090521676453644,0.3705832793291415,1.9595836881275607e-08
