,realized_variance,realized_volatility
2021-04-29,0.0010483499707182363,0.032378232977082554
2021-04-30,0.0014799192458434178,0.03846971855685219
2021-05-01,0.00033863172128255966,0.01840194884468924
2021-05-02,0.000769991877445811,0.027748727492370007
2021-05-03,0.001094938214620713,0.03308985062856454
2021-05-04,0.0023669840233239313,0.0486516600263951
2021-05-05,0.0016538034235351,0.04066698198213263
2021-05-06,0.0010274460316743758,0.032053799020933166
2021-05-07,0.000917787608646727,0.030295009632722136
2021-05-08,0.001249812911158903,0.03535269312455422
2021-05-09,0.0014345629511153249,0.037875624762046166
2021-05-10,0.0021329109303005267,0.04618344866183692
2021-05-11,0.0013357515436529118,0.03654793487535119
2021-05-12,0.006710294332141413,0.08191638622486598
2021-05-13,0.0032027138109710597,0.05659252433821149
2021-05-14,0.001872438571642499,0.043271683254092384
2021-05-15,0.002889989297836469,0.05375862068390956
2021-05-16,0.005123442942946843,0.071578229532078
2021-05-17,0.007571177229227166,0.08701251191194957
2021-05-18,0.002741262049311389,0.05235706303175713
2021-05-19,0.03628900499996361,0.19049673225534242
2021-05-20,0.00880777243032147,0.09384973324587273
2021-05-21,0.013883218458289173,0.11782707014217562
2021-05-22,0.002945404642146304,0.05427158227052445
2021-05-23,0.008479284795779505,0.0920830320731214
2021-05-24,0.0055290910637182614,0.07435785811680068
2021-05-25,0.003639594099377808,0.06032904855356007
2021-05-26,0.0035717245892675268,0.05976390707833221
2021-05-27,0.0029240449872666627,0.05407443931532405
2021-05-28,0.004885042572658852,0.06989307957629891
2021-05-29,0.003762071052689885,0.06133572411482467
2021-05-30,0.0026389985544284624,0.05137118408629942
2021-05-31,0.0023186685076579524,0.04815255452889236
2021-06-01,0.002516561725738769,0.0501653438714295
2021-06-02,0.0007533679824820734,0.027447549662621494
2021-06-03,0.0015152334862700324,0.03892600013191739
2021-06-04,0.0016765238243180432,0.040945376104244584
2021-06-05,0.0037158660412041555,0.06095790384522876
2021-06-06,0.0011187500441342524,0.03344772106039891
2021-06-07,0.0023032125156856606,0.04799179633734979
2021-06-08,0.0031252333705153673,0.05590378672787173
2021-06-09,0.004744369711226217,0.06887938524134937
2021-06-10,0.0021539999002188333,0.04641120446852067
2021-06-11,0.001368769954606231,0.03699689114785499
2021-06-12,0.0017431124780123975,0.04175059853478028
2021-06-13,0.0035125347963305817,0.05926664151384471
2021-06-14,0.001600358957837241,0.04000448672133216
2021-06-15,0.0012579584538971592,0.035467710017664786
2021-06-16,0.0010483799181983135,0.032378695436943
2021-06-17,0.0011594078626507927,0.03405007874661662
2021-06-18,0.001803297559347479,0.04246525119845024
2021-06-19,0.0013237596788975925,0.03638350833684944
2021-06-20,0.00177955121113911,0.04218472722608397
2021-06-21,0.00644714201602206,0.08029409701853593
2021-06-22,0.009501704809214372,0.09747668854251447
2021-06-23,0.002915646015828635,0.053996722269306636
2021-06-24,0.0019652630452187867,0.0443312874301975
2021-06-25,0.0018646245781517802,0.04318129894007104
2021-06-26,0.0040595318271587615,0.06371445540188475
2021-06-27,0.003448550975979947,0.058724364415291434
2021-06-28,0.0014979781928401792,0.038703723242605216
2021-06-29,0.001544742293447348,0.03930320970922538
2021-06-30,0.0015524239405645254,0.03940081142012846
2021-07-01,0.0019330818099991133,0.04396682624433009
2021-07-02,0.0012275348146950664,0.035036192925246123
2021-07-03,0.000834117771625486,0.028881097133341145
2021-07-04,0.0007208200883746961,0.026848092825649574
2021-07-05,0.0017569073771466714,0.04191547896835573
2021-07-06,0.0016268729434516427,0.04033451305583895
2021-07-07,0.00037698881030193707,0.01941619968742434
2021-07-08,0.0012849843310977073,0.03584667810408249
2021-07-09,0.0008087838483380239,0.0284391253089476
2021-07-10,0.0006762162716858168,0.026004158738282938
2021-07-11,0.0005522454417663883,0.023499903016106008
2021-07-12,0.0003686799315282057,0.01920103985538819
2021-07-13,0.0009213005327212538,0.030352932852053257
2021-07-14,0.0013217454936957156,0.036355817879614755
2021-07-15,0.0007415087728634461,0.02723065869316139
2021-07-16,0.0009186748786494594,0.03030964992621095
2021-07-17,0.0004250461176066104,0.02061664661400128
2021-07-18,0.000662743698259708,0.02574380893068677
2021-07-19,0.0006423007417218692,0.025343652888284853
2021-07-20,0.0011394415537857574,0.033755615144531986
2021-07-21,0.0016469305641049546,0.040582392291546275
2021-07-22,0.00045946243975374893,0.021435074988293112
2021-07-23,0.000863555364286214,0.029386312532984026
2021-07-24,0.0006494115064528524,0.02548355364647663
2021-07-25,0.0007938082985303457,0.028174603786572504
2021-07-26,0.006368758067387797,0.07980449904227077
2021-07-27,0.0016443246978924562,0.0405502737092175
2021-07-28,0.004725385377865637,0.0687414385786742
2021-07-29,0.0007984944940120722,0.028257644877308374
2021-07-30,0.002202178714077267,0.04692737702106593
2021-07-31,0.0005242110714795281,0.02289565617053873
2021-08-01,0.0010963811940271008,0.03311164740732633
2021-08-02,0.001087063909316301,0.03297065224280983
2021-08-03,0.0007259774277967066,0.026943968300840667
2021-08-04,0.0006397603382090054,0.025293484105773277
2021-08-05,0.0023443034748422175,0.04841800775375023
2021-08-06,0.0025957012632004083,0.05094802511580217
2021-08-07,0.0011269073778218523,0.03356944113061539
2021-08-08,0.0013110247027159263,0.03620807510371031
2021-08-09,0.0018849998211013207,0.04341658463192747
2021-08-10,0.0009192176449178465,0.03031860229162694
2021-08-11,0.00048297341099318386,0.021976656046659687
2021-08-12,0.0007734866113260704,0.02781162726857367
2021-08-13,0.001078798275528448,0.03284506470580394
2021-08-14,0.0008019081577303348,0.0283179829389442
2021-08-15,0.0006804140422488632,0.026084747310427665
2021-08-16,0.0010493988523950155,0.03239442625506764
2021-08-17,0.000936687774996,0.030605355331967638
2021-08-18,0.0009125606513168563,0.030208618825044886
2021-08-19,0.0011664516439631799,0.03415335479807481
2021-08-20,0.0009499575812342078,0.030821381883916362
2021-08-21,0.0010601329417889757,0.03255968276548431
2021-08-22,0.0006294965424334131,0.02508976967677091
2021-08-23,0.00035533033328337475,0.01885020777825472
2021-08-24,0.0007139897435290992,0.026720586511697293
2021-08-25,0.0010606280974780192,0.032567285694052234
2021-08-26,0.0009787219906459673,0.03128453277014006
2021-08-27,0.0007541176918430911,0.027461203393935436
2021-08-28,0.0002195427546859359,0.014816975220534585
2021-08-29,0.0007203241082961496,0.026838854452009488
2021-08-30,0.0008054192015711369,0.02837990841372003
2021-08-31,0.000789006439230145,0.02808925843147421
2021-09-01,0.0009104470155355587,0.03017361455867624
2021-09-02,0.0008585427992415555,0.029300900997094877
2021-09-03,0.0010256927935373414,0.03202643897684133
2021-09-04,0.00047773246106837426,0.021857091779749066
2021-09-05,0.0006077390903717678,0.024652364802829115
2021-09-06,0.00026282840884057055,0.016211983494951215
2021-09-07,0.005662630329227058,0.07525045069118894
2021-09-08,0.0017865736295217057,0.04226787940649147
2021-09-09,0.0005063839226895402,0.022502975862972886
2021-09-10,0.0009885143376571874,0.03144064785682998
2021-09-11,0.0003616646737804866,0.019017483371374
2021-09-12,0.0009293885274018677,0.030485874227285457
2021-09-13,0.00428153881831645,0.06543346864041712
2021-09-14,0.0006244218338085584,0.024988434000724383
2021-09-15,0.00041677739145196016,0.020415126535291428
2021-09-16,0.0009389519843970061,0.030642323417081254
2021-09-17,0.0007371493977954861,0.027150495350830823
2021-09-18,0.0003211244671756831,0.01791994607066894
2021-09-19,0.000603789533661464,0.024572129204882998
2021-09-20,0.0023638210579078646,0.0486191429162204
2021-09-21,0.004508648437771769,0.06714647003210049
2021-09-22,0.001736032464336427,0.04166572289468199
2021-09-23,0.0012646797123897647,0.03556233558682226
2021-09-24,0.00407755151602587,0.06385570856255429
2021-09-25,0.0004475042766697215,0.02115429688431458
2021-09-26,0.002411330718011525,0.049105302341106966
2021-09-27,0.0013372974111732472,0.036569077253510884
2021-09-28,0.000743411818480372,0.027265579371808187
2021-09-29,0.0007479292423892349,0.027348295054522777
2021-09-30,0.0014949904445463974,0.03866510629167334
2021-10-01,0.003083345626842991,0.05552788152669784
2021-10-02,0.0003150303535463827,0.01774909444299575
2021-10-03,0.0007708654276317541,0.027764463395350433
2021-10-04,0.0010887348716616474,0.03299598265943367
2021-10-05,0.0007109777601929583,0.026664166219721896
2021-10-06,0.0019860952044007665,0.04456562806020764
2021-10-07,0.0008470096677763268,0.029103430515599476
2021-10-08,0.0012519079764429356,0.03538231163226812
2021-10-09,0.0002677935726821782,0.016364399551531923
2021-10-10,0.0007564464959383278,0.02750357242138424
2021-10-11,0.0006487140404302324,0.025469865339852748
2021-10-12,0.0008165222395409258,0.02857485327243039
2021-10-13,0.0014756539247304423,0.03841424117082677
2021-10-14,0.0006012124242774463,0.024519633445005788
2021-10-15,0.0027964256317765876,0.0528812408305307
2021-10-16,0.0005074299070187056,0.022526204896047307
2021-10-17,0.0011772264513514308,0.034310733762941165
2021-10-18,0.001022575129421101,0.03197772864699901
2021-10-19,0.0006538583733331653,0.025570654534703745
2021-10-20,0.0010208010904896219,0.031949977941927
2021-10-21,0.0011344488048531407,0.03368157960745221
2021-10-22,0.0014343977083151969,0.03787344331210455
2021-10-23,0.0009497907227441103,0.03081867490246961
2021-10-24,0.0005155714387154286,0.0227061982444316
2021-10-25,0.0006303501725296679,0.02510677543074116
2021-10-26,0.0009351288496075811,0.030579876546637352
2021-10-27,0.0007176609321261755,0.026789194316480955
2021-10-28,0.001794378188325643,0.0423601013729387
2021-10-29,0.0009722131285606484,0.031180332399778046
2021-10-30,0.00027395854500248117,0.016551693115886397
2021-10-31,0.00038778214876393827,0.019692184966730794
2021-11-01,0.001638767503582752,0.04048169343768553
2021-11-02,0.001126805611313445,0.03356792533525784
2021-11-03,0.0007832290720437127,0.027986230043428727
2021-11-04,0.000642664160305854,0.025350821688968073
2021-11-05,0.0006782072205133133,0.026042411956524177
2021-11-06,0.0002757895334151142,0.016606912217962563
2021-11-07,0.00027244528715769884,0.01650591673181768
2021-11-08,0.001474552196810597,0.03839989839583689
2021-11-09,0.0007089753191335417,0.026626590452657316
2021-11-10,0.002068390176392315,0.04547955778580433
2021-11-11,0.0003486462323557998,0.018672070917704866
2021-11-12,0.0006082777313997443,0.024663287116679
2021-11-13,0.0005924551466366085,0.024340401529896926
2021-11-14,0.0005253805266144854,0.02292118074215387
2021-11-15,0.0003989585507558305,0.01997394679966457
2021-11-16,0.0014031865505247988,0.03745913173746555
2021-11-17,0.0014163068712504715,0.03763385272929775
2021-11-18,0.001248627714997049,0.03533592668937733
2021-11-19,0.0011567266692790353,0.03401068463408279
2021-11-20,0.0010294659822856701,0.03208529230481889
2021-11-21,0.0005881626477550611,0.024252064814259858
2021-11-22,0.0018909501464128911,0.04348505658744037
2021-11-23,0.0009621399092850094,0.031018380184739004
2021-11-24,0.0007225745475516857,0.026880746781882486
2021-11-25,0.0005990210295758825,0.024474906119858406
2021-11-26,0.0018586192498817244,0.04311170664543129
2021-11-27,0.0006234448790591126,0.02496887820986583
2021-11-28,0.00152113458880774,0.03900172545936577
2021-11-29,0.0009827303183648497,0.03134852976400727
2021-11-30,0.0017205185822658999,0.041479134299860936
2021-12-01,0.001021031510644595,0.03195358369016838
2021-12-02,0.0007249647625092093,0.0269251696839446
2021-12-03,0.001042570844594159,0.032288865644276805
2021-12-04,0.005662165385470328,0.07524736131898797
2021-12-05,0.0012639218845010777,0.035551679067254725
2021-12-06,0.002409259820008807,0.04908421151458794
2021-12-07,0.0006744200659985388,0.025969598880201034
2021-12-08,0.0018297089245023872,0.042775097013360325
2021-12-09,0.0009188821020812756,0.030313068173335334
2021-12-10,0.0018774738128392746,0.04332982590363449
2021-12-11,0.0007155963873532875,0.026750633400973656
2021-12-12,0.0005926661453531914,0.024344735475112303
2021-12-13,0.0013572567498929535,0.03684096564821494
2021-12-14,0.0012667679102226497,0.03559168316085444
2021-12-15,0.0014190107690732886,0.03766975934450987
2021-12-16,0.0005726463459165519,0.023930030211358946
2021-12-17,0.0015557979026335133,0.03944360407763866
2021-12-18,0.0008840186805798709,0.029732451640923776
2021-12-19,0.0009741230761002627,0.0312109448126817
2021-12-20,0.0009722172536673474,0.0311803985488856
2021-12-21,0.0009732138703611943,0.031196375917102843
2021-12-22,0.0005554653816338272,0.023568313084177814
2021-12-23,0.0008786406724992193,0.029641873633412908
2021-12-24,0.0004265526477595307,0.020653151037058018
2021-12-25,0.00018051015998313155,0.013435406952643137
2021-12-26,0.00039703749362421175,0.019925799698486676
2021-12-27,0.0004098824427495129,0.020245553653815272
2021-12-28,0.0007730848502211555,0.027804403432211154
2021-12-29,0.0012128480318248037,0.03482596778016088
2021-12-30,0.0005437059105617743,0.023317502236770007
2021-12-31,0.0016065354675575873,0.04008161009188113
2022-01-01,0.0005770194318093079,0.024021228773926366
2022-01-02,0.0004185126413565506,0.02045758151289029
2022-01-03,0.00039480119403508636,0.019869604778029338
2022-01-04,0.0008361045001449783,0.028915471639677233
2022-01-05,0.0015955435095354551,0.0399442550254158
2022-01-06,0.0006424765457347079,0.025347121054169208
2022-01-07,0.002254841939443597,0.047485175996763426
2022-01-08,0.0008716022741461309,0.029522911003932707
2022-01-09,0.0009068258616236653,0.030113549469029142
2022-01-10,0.001519038718385405,0.038974847252880994
2022-01-11,0.000932179756907592,0.030531618969645093
2022-01-12,0.00048216457641423426,0.021958246205337855
2022-01-13,0.0007799492155787575,0.02792757088575298
2022-01-14,0.0007320532017380972,0.027056481695484674
2022-01-15,0.0002538982295273416,0.015934184306933996
2022-01-16,0.0002572421751446868,0.016038770998573638
2022-01-17,0.0003488947625680973,0.01867872486461796
2022-01-18,0.0005016380369646515,0.022397277445364905
2022-01-19,0.001005114855309277,0.03170354641533463
2022-01-20,0.0017486838944017083,0.041817267897385504
2022-01-21,0.0054614333357909375,0.07390151105214925
2022-01-22,0.002694500221113739,0.05190857560282057
2022-01-23,0.0017490962867523646,0.04182219849257526
2022-01-24,0.005509776539125188,0.07422786901915741
2022-01-25,0.0012387745060078027,0.03519622857647965
2022-01-26,0.0018199541766106382,0.042660920953615594
2022-01-27,0.002441186638151218,0.04940836607449409
2022-01-28,0.001183385000738764,0.034400363380911604
2022-01-29,0.0006384428711392546,0.025267427077944733
2022-01-30,0.0004515531837828723,0.021249780793760494
2022-01-31,0.001299919373240054,0.0360543946453141
2022-02-01,0.0007870760221142397,0.02805487519334634
2022-02-02,0.0009489133096640557,0.030804436525670383
2022-02-03,0.0010172067704327945,0.03189367916112524
